"","Group","Test%","TIme"
"1","Prequiz",9.52381,35.38
"2","Prequiz",23.80952,26.02
"3","Prequiz",23.80952,32.77
"4","Prequiz",14.28571,30.87
"5","Prequiz",23.80952,NA
"6","Prequiz",28.57143,27.18
"7","Prequiz",19.04762,36.32
"8","Prequiz",23.80952,87.93
"9","Prequiz",28.57143,66.3
"10","Prequiz",28.57143,NA
"11","Prequiz",23.80952,NA
"12","Prequiz",23.80952,22.98
"13","Prequiz",19.04762,29.75
"14","Prequiz",23.80952,64.62
"15","Prequiz",23.80952,98.83
"16","Prequiz",23.80952,24.52
"17","Prequiz",9.52381,131.05
"18","Prequiz",19.04762,NA
"19","Prequiz",33.33333,69.23
"20","Prequiz",23.80952,31.05
"21","Prequiz",23.80952,76.58
"22","Prequiz",42.85714,59.92
"23","Prequiz",23.80952,29.08
"24","Prequiz",33.33333,38.88
"25","Prequiz",28.57143,22.63
"26","Prequiz",33.33333,52.3
"27","Prequiz",14.28571,23.52
"28","Prequiz",33.33333,74.37
"29","Prequiz",19.04762,36.32
"30","Prequiz",23.80952,48.47
"31","Prequiz",33.33333,43.3
"32","Prequiz",19.04762,23.37
"33","Prequiz",38.09524,76.85
"34","Prequiz",33.33333,24.22
"35","Prequiz",38.09524,29.42
"36","Prequiz",38.09524,35.8
"37","Prequiz",23.80952,63
"38","Prequiz",23.80952,33.2
"39","Prequiz",28.57143,59.97
"40","Prequiz",38.09524,26.08
"41","Prequiz",23.80952,33.97
"42","Prequiz",19.04762,55.88
"43","Prequiz",38.09524,107.1
"44","Prequiz",33.33333,NA
"45","Prequiz",38.09524,39.93
"46","Prequiz",38.09524,41.45
"47","Prequiz",28.57143,110.87
"48","Prequiz",28.57143,57.33
"49","Prequiz",47.61905,35.95
"50","Prequiz",47.61905,36.77
"51","Prequiz",47.61905,21.07
"52","Prequiz",38.09524,38.25
"53","Prequiz",38.09524,27.75
"54","Prequiz",28.57143,38.95
"55","Prequiz",33.33333,25.2
"56","Prequiz",47.61905,32.58
"57","Prequiz",38.09524,25.32
"58","Prequiz",38.09524,116.87
"59","Prequiz",33.33333,30.5
"60","Prequiz",23.80952,33.32
"61","Prequiz",28.57143,86.73
"62","Prequiz",33.33333,27.48
"63","Prequiz",38.09524,39.17
"64","Prequiz",42.85714,38.42
"65","Prequiz",42.85714,27.53
"66","Prequiz",38.09524,100.12
"67","Prequiz",33.33333,79.85
"68","Prequiz",38.09524,67.38
"69","Prequiz",33.33333,30.27
"70","Prequiz",42.85714,45.9
"71","Prequiz",33.33333,31.6
"72","Prequiz",42.85714,NA
"73","Prequiz",42.85714,39.42
"74","Prequiz",38.09524,45.17
"75","Prequiz",61.90476,34.68
"76","Prequiz",33.33333,92.15
"77","Prequiz",61.90476,80.9
"78","Prequiz",42.85714,131.05
"79","Prequiz",38.09524,43.98
"80","Prequiz",47.61905,78.07
"81","Prequiz",42.85714,50.57
"82","Prequiz",57.14286,32.43
"83","Prequiz",57.14286,33.52
"84","Prequiz",57.14286,22.12
"85","Prequiz",52.38095,35.13
"86","Prequiz",57.14286,41.93
"87","Prequiz",57.14286,29.6
"88","Prequiz",61.90476,51.62
"89","Prequiz",61.90476,70.52
"90","Prequiz",66.66667,34.1
"91","Prequiz",66.66667,45.33
"92","Prequiz",71.42857,43.77
"93","Prequiz",80.95238,26.42
"94","Prequiz",85.71429,34.47
"95","Prequiz",90.47619,28.68
