"","Exposure","Prediction","Performance"
"1","20",3.86,3.1066
"2","20",3.93,2.9869
"3","1",3.48,3.5173
"4","1",1.68,6.7852
"5","1",1,4.0785
"6","20",8.26,2.6353
"7","20",2,1.9325
"8","1",4,3.3223
"9","1",4.07,3.3439
"10","20",3.08,3.0109
"11","1",2.14,2.8996
"12","1",3.99,1.2989
"13","1",2.05,3.3088
"14","1",4.05,8.3215
"15","20",5.03,6.4721
"16","20",1.99,2.9586
"17","20",5.03,4.0337
"18","1",10,3.2003
"19","1",4,3.4184
"20","1",2.04,1.6782
"21","20",5.58,3.4309
"22","20",4.61,2.433
"23","1",2.1,3.753
"24","1",1.14,2.8813
"25","1",1,2.6388
"26","1",10,3.2529
"27","1",3,2.4598
"28","20",6.07,4.1626
"29","1",4,4.3864
"30","1",7.41,3.3097
"31","1",2.5,5.4549
"32","1",5.06,3.1058
"33","20",2.99,4.8802
"34","20",1.81,2.5434
"35","1",3.97,3.2207
"36","20",7.01,3.4005
"37","20",4.99,2.7692
"38","20",3.02,2.857
"39","1",2,3.6179
"40","1",1.9,4.6858
"41","1",2.03,2.4551
"42","20",3.5,2.7142
"43","20",2.99,3.1685
"44","1",2,3.9516
"45","20",6.37,3.2015
"46","20",6.82,6.9148
"47","1",2,4.1934
"48","20",6.58,2.4248
"49","1",1.25,3.6359
"50","1",3.03,2.8158
"51","1",5.99,7.4993
"52","20",7.48,2.9122
"53","1",3,3.9997
"54","1",1,2.729
"55","20",4.66,3.3147
"56","20",1.51,5.2824
"57","1",2.89,3.3048
"58","20",1.76,2.1828
"59","20",4.11,4.8028
"60","1",4.26,2.9084
"61","1",1.13,2.9238
"62","20",4,2.9941
"63","20",3.33,3.0012
"64","20",7.82,3.7852
"65","20",8.1,1.6874
"66","20",3.97,2.8585
"67","1",1.86,5.7233
"68","1",1,2.6814
"69","20",3.93,3.2157
"70","20",3.31,4.0305
"71","20",3,2.6993
"72","20",10,3.1122
"73","20",6.08,5.6375
"74","1",3.35,3.0654
"75","20",6.01,2.1565
"76","1",6.21,3.1611
"77","20",3,3.1701
"78","20",5.01,2.2647
"79","1",1.87,4.2495
"80","20",5.01,2.7486
"81","20",2.98,2.6144
"82","1",1.66,2.8973
"83","20",1.09,2.6972
"84","1",1,3.2549
"85","1",4,5.0341
"86","20",6.06,3.1825
"87","1",1,2.9751
"88","1",4.17,3.0949
"89","20",3.02,3.093
"90","1",6.5,1.2648
"91","1",2.9,4.5304
"92","1",3,2.9274
"93","20",2.83,2.9678
"94","20",5.53,1.2442
"95","20",1.52,4.2027
"96","1",2.96,2.7902
"97","20",5.01,3.6107
"98","20",4.35,5.2098
"99","1",2,2.2913
"100","20",5.39,4.3339
