"","Pretest","Posttest","Group","ControlPre","ControlPost","MeditationPre","MeditationPost"
"1",48.261,50.026,"Control",48.261,50.026,NA,NA
"2",42.745,41.137,"Control",42.745,41.137,NA,NA
"3",46.222,45.542,"Control",46.222,45.542,NA,NA
"4",46.889,48.261,"Control",46.889,48.261,NA,NA
"5",43.752,45.242,"Control",43.752,45.242,NA,NA
"6",36.928,33.621,"Control",36.928,33.621,NA,NA
"7",52.026,53.634,"Control",52.026,53.634,NA,NA
"8",39.739,40.275,"Control",39.739,40.275,NA,NA
"9",45.503,43.595,"Control",45.503,43.595,NA,NA
"10",45.386,46.235,"Control",45.386,46.235,NA,NA
"11",44.745,45.621,"Control",44.745,45.621,NA,NA
"12",31.725,32.092,"Control",31.725,32.092,NA,NA
"13",40.562,40.588,"Control",40.562,40.588,NA,NA
"14",39.216,39.987,"Control",39.216,39.987,NA,NA
"15",46.771,47.19,"Control",46.771,47.19,NA,NA
"16",48.314,47.137,"Control",48.314,47.137,NA,NA
"17",46.065,46.654,"Control",46.065,46.654,NA,NA
"18",43.072,42.549,"Meditation",NA,NA,43.072,42.549
"19",41.922,41.974,"Meditation",NA,NA,41.922,41.974
"20",48.366,49.882,"Meditation",NA,NA,48.366,49.882
"21",49.725,50.967,"Meditation",NA,NA,49.725,50.967
"22",40.013,41.059,"Meditation",NA,NA,40.013,41.059
"23",39.673,41.569,"Meditation",NA,NA,39.673,41.569
"24",38.405,40.418,"Meditation",NA,NA,38.405,40.418
"25",52.51,54.078,"Meditation",NA,NA,52.51,54.078
"26",41.281,43.046,"Meditation",NA,NA,41.281,43.046
"27",42.157,43.333,"Meditation",NA,NA,42.157,43.333
"28",41.281,41.333,"Meditation",NA,NA,41.281,41.333
"29",57.843,58,"Meditation",NA,NA,57.843,58
"30",41.935,42.471,"Meditation",NA,NA,41.935,42.471
"31",45.281,45.83,"Meditation",NA,NA,45.281,45.83
"32",29.673,31.137,"Meditation",NA,NA,29.673,31.137
"33",46.144,47.007,"Meditation",NA,NA,46.144,47.007
