"","Location","M Low","s Low","n Low","M High","s High","n High","USAorNot","Country"
"1","abington",2906,1090,31,4021,1070,37,"USA","USA"
"2","brasilia",2509,869,43,3775,1205,30,"Not_USA","Brazil"
"3","charles",2650,952,35,3678,1169,32,"Not_USA","Czech Republic"
"4","conncoll",2650,613,33,4330,1019,49,"USA","USA"
"5","csun",2826,749,37,4135,1092,50,"USA","USA"
"6","help",2303,796,45,4228,1184,28,"Not_USA","Malaysia"
"7","ithaca",2799,757,37,3804,995,34,"USA","USA"
"8","jmu",3030,875,51,3984,1042,97,"Not_USA","VA"
"9","ku",2634,807,33,3936,1288,33,"Not_USA","Turkey"
"10","laurier",2375,801,30,4177,1101,37,"Not_USA","Canada"
"11","lse",2674,822,102,4054,1154,131,"Not_USA","UK"
"12","luc",2745,1032,62,4127,1178,63,"USA","USA"
"13","mcdaniel",2933,797,38,4067,973,45,"USA","USA"
"14","msvu",2691,1149,26,4258,988,19,"Not_USA","Canada"
"15","mturk",2916,780,454,3929,1052,472,"USA","USA"
"16","osu",2711,906,49,4403,1211,43,"USA","USA"
"17","oxy",2919,800,62,3820,1075,51,"USA","USA"
"18","pi",2957,799,578,3889,1026,618,"USA","USA"
"19","psu",2592,645,41,4182,1167,39,"USA","USA"
"20","qccuny",3002,1082,43,4096,1148,47,"USA","USA"
"21","qccuny2",2721,772,33,4217,968,42,"USA","USA"
"22","sdsu",3184,898,66,4150,1115,76,"USA","USA"
"23","swps",2575,1162,31,4155,1250,19,"Not_USA","Poland"
"24","swpson",2613,1003,60,3726,1380,50,"Not_USA","Whole Internet"
"25","tamu",2955,1044,82,4242,1061,81,"USA","USA"
"26","tamuc",2837,864,41,4137,1165,39,"USA","USA"
"27","tamuon",2869,951,85,3910,1005,101,"USA","USA"
"28","tilburg",2676,752,32,3733,1231,25,"Not_USA","Netherlands"
"29","ufl",2876,818,50,4183,1086,65,"USA","USA"
"30","unipd",2616,937,52,3723,1096,47,"Not_USA","Italy"
