"","condition","transcription"
"1","Pen",12.1
"2","Pen",6.5
"3","Pen",8.1
"4","Pen",7.6
"5","Pen",12.2
"6","Pen",10.8
"7","Pen",1
"8","Pen",2.9
"9","Pen",14.4
"10","Pen",8.4
"11","Pen",17.7
"12","Pen",20.1
"13","Pen",2.1
"14","Pen",11.1
"15","Pen",11.2
"16","Pen",10.7
"17","Pen",1.9
"18","Pen",5.2
"19","Pen",9.7
"20","Pen",5.2
"21","Pen",2.4
"22","Pen",7.1
"23","Pen",8.7
"24","Pen",8
"25","Pen",11.3
"26","Pen",8.5
"27","Pen",9.1
"28","Pen",4.5
"29","Pen",9.2
"30","Pen",13.3
"31","Pen",18.3
"32","Pen",2.8
"33","Pen",5.1
"34","Pen",12.4
"35","Laptop",13.7
"36","Laptop",21.1
"37","Laptop",15.2
"38","Laptop",30.4
"39","Laptop",12.8
"40","Laptop",9.6
"41","Laptop",9.3
"42","Laptop",17.7
"43","Laptop",15.4
"44","Laptop",8.7
"45","Laptop",12.8
"46","Laptop",10.6
"47","Laptop",5.1
"48","Laptop",16.7
"49","Laptop",17.7
"50","Laptop",8.7
"51","Laptop",26.4
"52","Laptop",18
"53","Laptop",19
"54","Laptop",16.9
"55","Laptop",18.8
"56","Laptop",8.5
"57","Laptop",1.2
"58","Laptop",11.5
"59","Laptop",21.4
"60","Laptop",10.3
"61","Laptop",9
"62","Laptop",12.8
"63","Laptop",12
"64","Laptop",34.7
"65","Laptop",4.1
